"id","genome","taxonomy","sample","infant"
"550","conN4_079_021G1_concoct_11.fa","Enterococcus faecalis D32","N4_079_021G1","N4_079"
"551","conN4_079_021G1_concoct_13.fa","Haemophilus parainfluenzae T3T1","N4_079_021G1","N4_079"
"552","conN4_079_021G1_concoct_17.fa","Veillonella parvula DSM 2008","N4_079_021G1","N4_079"
"553","conN4_082_000G1_concoct_13.fa","Clostridioides difficile","N4_082_000G1","N4_082"
"554","conN4_082_000G1_concoct_1.fa","Clostridioides difficile","N4_082_000G1","N4_082"
"555","conN4_082_000G1_concoct_27.fa","Clostridium perfringens","N4_082_000G1","N4_082"
"556","conN4_082_000G1_concoct_35.fa","Dermabacter vaginalis","N4_082_000G1","N4_082"
"557","conN4_082_000G1_concoct_3.fa","Pseudomonas aeruginosa","N4_082_000G1","N4_082"
"558","conN4_082_000G1_concoct_6.fa","Streptococcus parasanguinis ATCC 15912","N4_082_000G1","N4_082"
"559","conN4_082_014G1_concoct_14.fa","Clostridium lentocellum DSM 5427","N4_082_014G1","N4_082"
"560","conN4_082_014G1_concoct_16.fa","Clostridium baratii str. Sullivan","N4_082_014G1","N4_082"
"561","conN4_082_014G1_concoct_24.fa","Staphylococcus epidermidis","N4_082_014G1","N4_082"
"562","conN4_082_014G1_concoct_25.fa","Veillonella parvula DSM 2008","N4_082_014G1","N4_082"
"563","conN4_082_014G1_concoct_30.fa","Cronobacter sakazakii","N4_082_014G1","N4_082"
"564","conN4_082_020G1_concoct_13.fa","Enterococcus faecium T110","N4_082_020G1","N4_082"
"565","conN4_082_020G1_concoct_21.fa","Enterobacter hormaechei subsp. steigerwaltii","N4_082_020G1","N4_082"
"566","conN4_082_024G1_concoct_10.fa","Streptococcus salivarius","N4_082_024G1","N4_082"
"567","conN4_082_024G1_concoct_12.fa","Roseburia hominis A2-183","N4_082_024G1","N4_082"
"568","conN4_082_024G1_concoct_1.fa","Streptococcus lutetiensis 033","N4_082_024G1","N4_082"
"569","conN4_082_024G1_concoct_28.fa","Haemophilus parainfluenzae T3T1","N4_082_024G1","N4_082"
"570","conN4_083_000G1_concoct_10.fa","Enterococcus faecalis","N4_083_000G1","N4_083"
"571","conN4_083_000G1_concoct_25.fa","Staphylococcus epidermidis","N4_083_000G1","N4_083"
"572","conN4_083_000G1_concoct_27.fa","Staphylococcus aureus","N4_083_000G1","N4_083"
"573","conN4_083_014G1_concoct_0.fa","Clostridium baratii str. Sullivan","N4_083_014G1","N4_083"
"574","conN4_083_014G1_concoct_11.fa","Haemophilus parainfluenzae T3T1","N4_083_014G1","N4_083"
"575","conN4_083_014G1_concoct_22.fa","Pseudomonas aeruginosa","N4_083_014G1","N4_083"
"576","conN4_083_020G1_concoct_29.fa","Enterobacter hormaechei subsp. steigerwaltii","N4_083_020G1","N4_083"
"577","conN4_083_020G1_concoct_31.fa","Streptococcus lutetiensis 033","N4_083_020G1","N4_083"
"578","conN4_083_024G1_concoct_20.fa","Enterococcus faecium T110","N4_083_024G1","N4_083"
"579","conN4_083_024G1_concoct_2.fa","Clostridium perfringens","N4_083_024G1","N4_083"
"580","conN4_083_024G1_concoct_37.fa","Blautia sp. YL58","N4_083_024G1","N4_083"
"581","conN4_083_024G1_concoct_8.fa","Clostridioides difficile","N4_083_024G1","N4_083"
"582","conN4_087_000G1_concoct_14.fa","Bradyrhizobium sp. BTAi1","N4_087_000G1","N4_087"
"583","conN4_087_000G1_concoct_1.fa","Propionibacterium avidum 44067","N4_087_000G1","N4_087"
"584","conN4_087_000G1_concoct_38.fa","Staphylococcus haemolyticus JCSC1435","N4_087_000G1","N4_087"
"585","conN4_087_000G1_concoct_40.fa","Bifidobacterium dentium JCM 1195 = DSM 20436","N4_087_000G1","N4_087"
"586","conN4_087_000G1_concoct_42.fa","Campylobacter curvus 525.92","N4_087_000G1","N4_087"
"587","conN4_087_000G1_concoct_6.fa","Enterococcus faecalis","N4_087_000G1","N4_087"
"588","conN4_087_000G1_concoct_8.fa","Megasphaera elsdenii 14-14","N4_087_000G1","N4_087"
"589","conN4_087_009G1_concoct_17.fa","Lactobacillus gasseri ATCC 33323 = JCM 1131","N4_087_009G1","N4_087"
"590","conN4_087_009G1_concoct_6.fa","Leclercia adecarboxylata","N4_087_009G1","N4_087"
"591","conN4_087_015G1_concoct_10.fa","Staphylococcus epidermidis","N4_087_015G1","N4_087"
"592","conN4_087_015G1_concoct_12.fa","Pseudomonas aeruginosa","N4_087_015G1","N4_087"
"593","conN4_087_015G1_concoct_2.fa","Clostridium baratii str. Sullivan","N4_087_015G1","N4_087"
"594","conN4_087_026G1_concoct_17.fa","Anaerococcus prevotii DSM 20548","N4_087_026G1","N4_087"
"595","conN4_087_026G1_concoct_21.fa","Actinomyces sp. oral taxon 414","N4_087_026G1","N4_087"
"596","conN4_087_026G1_concoct_22.fa","Clostridium sporogenes","N4_087_026G1","N4_087"
"597","conN4_087_026G1_concoct_25.fa","Klebsiella pneumoniae KP-1","N4_087_026G1","N4_087"
"598","conN4_087_026G1_concoct_3.fa","Bifidobacterium breve","N4_087_026G1","N4_087"
"599","conN4_087_026G1_concoct_6.fa","Anaerococcus prevotii DSM 20548","N4_087_026G1","N4_087"
"600","conN4_087_026G1_concoct_8.fa","Eggerthella lenta DSM 2243","N4_087_026G1","N4_087"
"601","conN4_089_000G1_concoct_15.fa","Bradyrhizobium sp. BTAi1","N4_089_000G1","N4_089"
"602","conN4_089_000G1_concoct_25.fa","Streptococcus agalactiae","N4_089_000G1","N4_089"
"603","conN4_089_000G1_concoct_29.fa","Finegoldia magna ATCC 29328","N4_089_000G1","N4_089"
"604","conN4_089_008G1_concoct_12.fa","Staphylococcus epidermidis","N4_089_008G1","N4_089"
"605","conN4_089_008G1_concoct_20.fa","Enterococcus faecalis","N4_089_008G1","N4_089"
"606","conN4_089_008G2_concoct_3.fa","Klebsiella pneumoniae","N4_089_008G2","N4_089"
"607","conN4_089_018G1_concoct_11.fa","Finegoldia magna ATCC 29328","N4_089_018G1","N4_089"
"608","conN4_089_018G1_concoct_2.fa","Clostridium baratii str. Sullivan","N4_089_018G1","N4_089"
"609","conN4_089_027G1_concoct_17.fa","Trueperella pyogenes","N4_089_027G1","N4_089"
"610","conN4_089_027G1_concoct_2.fa","Anaerococcus prevotii DSM 20548","N4_089_027G1","N4_089"
"611","conN4_094_000G1_concoct_30.fa","Bradyrhizobium sp. BTAi1","N4_094_000G1","N4_094"
"612","conN4_094_008G1_concoct_12.fa","Escherichia coli","N4_094_008G1","N4_094"
"613","conN4_094_008G1_concoct_15.fa","Actinomyces meyeri","N4_094_008G1","N4_094"
"614","conN4_094_008G1_concoct_17.fa","Haemophilus parainfluenzae T3T1","N4_094_008G1","N4_094"
"615","conN4_094_008G1_concoct_6.fa","Staphylococcus epidermidis","N4_094_008G1","N4_094"
"616","conN4_094_010G1_concoct_35.fa","Enterococcus faecalis","N4_094_010G1","N4_094"
"617","conN4_094_012G1_concoct_11.fa","Veillonella parvula DSM 2008","N4_094_012G1","N4_094"
"618","conN4_094_012G1_concoct_34.fa","Gemella sp. oral taxon 928","N4_094_012G1","N4_094"
"619","conN4_094_018G1_concoct_35.fa","Clostridium perfringens","N4_094_018G1","N4_094"
"620","conN4_094_023G1_concoct_12.fa","Staphylococcus epidermidis","N4_094_023G1","N4_094"
"621","conN4_094_023G1_concoct_8.fa","Klebsiella michiganensis","N4_094_023G1","N4_094"
"622","conN4_095_000G1_concoct_21.fa","Streptococcus pasteurianus ATCC 43144","N4_095_000G1","N4_095"
"623","conN4_095_000G1_concoct_27.fa","Staphylococcus haemolyticus","N4_095_000G1","N4_095"
"624","conN4_095_000G1_concoct_32.fa","Mobiluncus curtisii ATCC 43063","N4_095_000G1","N4_095"
"625","conN4_095_012G1_concoct_14.fa","Clostridium perfringens","N4_095_012G1","N4_095"
"626","conN4_095_012G1_concoct_23.fa","Haemophilus influenzae","N4_095_012G1","N4_095"
"627","conN4_095_012G1_concoct_29.fa","Enterococcus faecalis","N4_095_012G1","N4_095"
"628","conN4_095_016G1_concoct_0.fa","Streptococcus salivarius CCHSS3","N4_095_016G1","N4_095"
"629","conN4_095_016G1_concoct_12.fa","Kluyvera intermedia","N4_095_016G1","N4_095"
"630","conN4_095_016G1_concoct_6.fa","Bradyrhizobium sp. BTAi1","N4_095_016G1","N4_095"
"631","conN4_095_019G1_concoct_1.fa","Veillonella parvula DSM 2008","N4_095_019G1","N4_095"
"632","conN4_095_025G1_concoct_13.fa","Finegoldia magna ATCC 29328","N4_095_025G1","N4_095"
"633","conN4_095_025G1_concoct_17.fa","Staphylococcus aureus","N4_095_025G1","N4_095"
"634","conN4_095_025G1_concoct_2.fa","Mobiluncus curtisii ATCC 43063","N4_095_025G1","N4_095"
"635","conN4_095_025G1_concoct_6.fa","Corynebacterium atypicum","N4_095_025G1","N4_095"
"636","conN4_097_000G1_concoct_12.fa","Clostridium perfringens","N4_097_000G1","N4_097"
"637","conN4_097_000G1_concoct_16.fa","Clostridioides difficile","N4_097_000G1","N4_097"
"638","conN4_097_000G1_concoct_25.fa","Staphylococcus epidermidis","N4_097_000G1","N4_097"
"639","conN4_097_000G1_concoct_33.fa","Neisseria meningitidis","N4_097_000G1","N4_097"
"640","conN4_097_005G1_concoct_13.fa","Bacteroides helcogenes P 36-108","N4_097_005G1","N4_097"
"641","conN4_097_007G1_concoct_37.fa","Bacteroides vulgatus ATCC 8482","N4_097_007G1","N4_097"
"642","conN4_097_007G1_concoct_5.fa","Escherichia coli","N4_097_007G1","N4_097"
"643","conN4_097_027G1_concoct_7.fa","Bradyrhizobium sp. BTAi1","N4_097_027G1","N4_097"
"644","conN4_097_027G1_concoct_9.fa","Veillonella parvula DSM 2008","N4_097_027G1","N4_097"
"645","conN4_097_034G1_concoct_0.fa","Bifidobacterium longum","N4_097_034G1","N4_097"
"646","conN4_097_034G1_concoct_10.fa","Enterococcus faecium","N4_097_034G1","N4_097"
"647","conN4_100_000G1_concoct_1.fa","Capnocytophaga sp. oral taxon 323","N4_100_000G1","N4_100"
"648","conN4_100_000G1_concoct_29.fa","Gardnerella vaginalis HMP9231","N4_100_000G1","N4_100"
"649","conN4_100_000G1_concoct_4.fa","Veillonella parvula DSM 2008","N4_100_000G1","N4_100"
"650","conN4_100_007G1_concoct_3.fa","Capnocytophaga sp. oral taxon 323","N4_100_007G1","N4_100"
"651","conN4_100_009G1_concoct_12.fa","Streptococcus anginosus","N4_100_009G1","N4_100"
"652","conN4_100_009G1_concoct_4.fa","Escherichia coli","N4_100_009G1","N4_100"
"653","conN4_100_011G1_concoct_0.fa","Staphylococcus epidermidis","N4_100_011G1","N4_100"
"654","conN4_100_014G1_concoct_12.fa","Bradyrhizobium sp. BTAi1","N4_100_014G1","N4_100"
"655","conN4_101_000G1_concoct_36.fa","Lactococcus lactis subsp. lactis IO-1","N4_101_000G1","N4_101"
"656","conN4_101_000G1_concoct_37.fa","Gardnerella vaginalis HMP9231","N4_101_000G1","N4_101"
"657","conN4_101_000G1_concoct_41.fa","Bradyrhizobium sp. BTAi1","N4_101_000G1","N4_101"
"658","conN4_101_000G1_concoct_47.fa","Corynebacterium simulans","N4_101_000G1","N4_101"
"659","conN4_101_015G1_concoct_5.fa","Veillonella parvula DSM 2008","N4_101_015G1","N4_101"
"660","conN4_101_017G1_concoct_13.fa","Prevotella melaninogenica ATCC 25845","N4_101_017G1","N4_101"
"661","conN4_101_017G1_concoct_14.fa","Gemella sp. oral taxon 928","N4_101_017G1","N4_101"
"662","conN4_101_017G1_concoct_22.fa","Streptococcus sp. VT 162","N4_101_017G1","N4_101"
"663","conN4_101_017G1_concoct_31.fa","Staphylococcus epidermidis","N4_101_017G1","N4_101"
"664","conN4_101_017G1_concoct_3.fa","Streptococcus salivarius CCHSS3","N4_101_017G1","N4_101"
"665","conN4_101_017G1_concoct_5.fa","Finegoldia magna ATCC 29328","N4_101_017G1","N4_101"
"666","conN4_101_027G1_concoct_11.fa","Lactobacillus johnsonii N6.2","N4_101_027G1","N4_101"
"667","conN4_101_038G1_concoct_7.fa","Enterococcus faecalis D32","N4_101_038G1","N4_101"
"668","conN4_101_042G1_concoct_5.fa","Klebsiella oxytoca","N4_101_042G1","N4_101"
"669","conN4_103_000G1_concoct_14.fa","Clostridioides difficile","N4_103_000G1","N4_103"
"670","conN4_103_000G1_concoct_5.fa","Enterococcus faecium","N4_103_000G1","N4_103"
"671","conN4_103_000G1_concoct_8.fa","Streptococcus lutetiensis 033","N4_103_000G1","N4_103"
"672","conN4_103_020G1_concoct_15.fa","Clostridium butyricum","N4_103_020G1","N4_103"
"673","conN4_103_020G1_concoct_3.fa","Clostridioides difficile","N4_103_020G1","N4_103"
"674","conN4_103_020G1_concoct_9.fa","Enterococcus faecalis","N4_103_020G1","N4_103"
"675","conN4_103_028G1_concoct_5.fa","Veillonella parvula DSM 2008","N4_103_028G1","N4_103"
"676","conN4_104_000G1_concoct_18.fa","Staphylococcus epidermidis","N4_104_000G1","N4_104"
"677","conN4_104_000G1_concoct_21.fa","Enterobacteriaceae","N4_104_000G1","N4_104"
"678","conN4_104_000G1_concoct_46.fa","Clostridium perfringens","N4_104_000G1","N4_104"
"679","conN4_104_000G1_concoct_52.fa","[Eubacterium rectale] ATCC 33656","N4_104_000G1","N4_104"
"680","conN4_104_000G1_concoct_56.fa","Clostridioides difficile","N4_104_000G1","N4_104"
"681","conN4_104_000G1_concoct_70.fa","Streptococcus pasteurianus ATCC 43144","N4_104_000G1","N4_104"
"682","conN4_104_000G1_concoct_71.fa","Bradyrhizobium sp. BTAi1","N4_104_000G1","N4_104"
"683","conN4_104_010G1_concoct_10.fa","Pantoea sp. PSNIH2","N4_104_010G1","N4_104"
"684","conN4_104_013G1_concoct_1.fa","Corynebacterium kroppenstedtii DSM 44385","N4_104_013G1","N4_104"
"685","conN4_104_013G1_concoct_27.fa","Enterococcus faecalis","N4_104_013G1","N4_104"
"686","conN4_104_013G1_concoct_30.fa","Clostridium perfringens","N4_104_013G1","N4_104"
"687","conN4_104_013G1_concoct_6.fa","Clostridioides difficile","N4_104_013G1","N4_104"
"688","conN4_104_013G1_concoct_8.fa","Enterobacter cloacae","N4_104_013G1","N4_104"
"689","conN4_104_021G1_concoct_37.fa","Klebsiella oxytoca","N4_104_021G1","N4_104"
"690","conN4_104_021G1_concoct_6.fa","Enterococcus faecium","N4_104_021G1","N4_104"
"691","conN4_104_027G1_concoct_0.fa","Prevotella ruminicola 23","N4_104_027G1","N4_104"
"692","conN4_104_027G1_concoct_11.fa","Clostridioides difficile","N4_104_027G1","N4_104"
"693","conN4_104_027G1_concoct_12.fa","Escherichia coli","N4_104_027G1","N4_104"
"694","conN4_104_027G1_concoct_18.fa","Parabacteroides distasonis ATCC 8503","N4_104_027G1","N4_104"
"695","conN4_104_027G1_concoct_26.fa","Bifidobacterium longum","N4_104_027G1","N4_104"
"696","conN4_104_027G1_concoct_27.fa","Olsenella uli DSM 7084","N4_104_027G1","N4_104"
"697","conN4_104_027G1_concoct_32.fa","Veillonella parvula DSM 2008","N4_104_027G1","N4_104"
"698","conN4_104_027G1_concoct_39.fa","Blautia sp. YL58","N4_104_027G1","N4_104"
"699","conN4_105_000G1_concoct_21.fa","Enterobacter hormaechei subsp. oharae","N4_105_000G1","N4_105"
"700","conN4_105_000G1_concoct_29.fa","Enterococcus faecalis D32","N4_105_000G1","N4_105"
"701","conN4_105_000G1_concoct_32.fa","Klebsiella pneumoniae","N4_105_000G1","N4_105"
"702","conN4_105_007G1_concoct_11.fa","Bradyrhizobium sp. BTAi1","N4_105_007G1","N4_105"
"703","conN4_105_010G1_concoct_10.fa","Serratia marcescens","N4_105_010G1","N4_105"
"704","conN4_105_010G1_concoct_19.fa","Pantoea vagans C9-1","N4_105_010G1","N4_105"
"705","conN4_105_010G1_concoct_2.fa","Pantoea sp. PSNIH2","N4_105_010G1","N4_105"
"706","conN4_105_010G1_concoct_3.fa","Clostridium perfringens","N4_105_010G1","N4_105"
"707","conN4_105_011G1_concoct_11.fa","Plautia stali symbiont","N4_105_011G1","N4_105"
"708","conN4_105_011G1_concoct_2.fa","Enterobacter cloacae complex sp. 35734","N4_105_011G1","N4_105"
"709","conN4_105_016G1_concoct_11.fa","Staphylococcus epidermidis","N4_105_016G1","N4_105"
"710","conN4_105_016G1_concoct_4.fa","Eggerthella lenta DSM 2243","N4_105_016G1","N4_105"
"711","conN4_106_000G1_concoct_13.fa","Enterococcus faecalis D32","N4_106_000G1","N4_106"
"712","conN4_106_000G1_concoct_14.fa","Bradyrhizobium sp. BTAi1","N4_106_000G1","N4_106"
"713","conN4_106_000G1_concoct_16.fa","Corynebacterium simulans","N4_106_000G1","N4_106"
"714","conN4_106_000G1_concoct_4.fa","Rothia mucilaginosa DY-18","N4_106_000G1","N4_106"
"715","conN4_106_051G1_concoct_14.fa","Staphylococcus epidermidis","N4_106_051G1","N4_106"
"716","conN4_106_059G1_concoct_10.fa","Klebsiella pneumoniae","N4_106_059G1","N4_106"
"717","conN4_107_000G1_concoct_11.fa","Clostridium baratii str. Sullivan","N4_107_000G1","N4_107"
"718","conN4_107_000G1_concoct_12.fa","Enterococcus faecalis D32","N4_107_000G1","N4_107"
"719","conN4_107_000G1_concoct_14.fa","Propionibacterium avidum 44067","N4_107_000G1","N4_107"
"720","conN4_107_000G1_concoct_15.fa","Bradyrhizobium sp. BTAi1","N4_107_000G1","N4_107"
"721","conN4_107_000G1_concoct_1.fa","Clostridium perfringens","N4_107_000G1","N4_107"
"722","conN4_107_000G1_concoct_21.fa","Propionibacterium acnes","N4_107_000G1","N4_107"
"723","conN4_107_000G1_concoct_25.fa","Bifidobacterium scardovii JCM 12489 = DSM 13734","N4_107_000G1","N4_107"
"724","conN4_107_026G1_concoct_15.fa","Clostridium kluyveri NBRC 12016","N4_107_026G1","N4_107"
"725","conN4_107_030G1_concoct_13.fa","Enterobacter hormaechei subsp. steigerwaltii","N4_107_030G1","N4_107"
"726","conN4_107_030G1_concoct_4.fa","Serratia marcescens","N4_107_030G1","N4_107"
"727","conN4_107_034G1_concoct_1.fa","Flavonifractor plautii","N4_107_034G1","N4_107"
"728","conN4_107_034G1_concoct_4.fa","Acinetobacter pittii","N4_107_034G1","N4_107"
"729","conN4_114_000G1_concoct_14.fa","Clostridioides difficile","N4_114_000G1","N4_114"
"730","conN4_114_000G1_concoct_5.fa","Clostridium kluyveri DSM 555","N4_114_000G1","N4_114"
"731","conN4_114_006G1_concoct_11.fa","Klebsiella oxytoca","N4_114_006G1","N4_114"
"732","conN4_114_006G1_concoct_8.fa","Haemophilus parainfluenzae T3T1","N4_114_006G1","N4_114"
"733","conN4_114_015G1_concoct_26.fa","Enterococcus faecalis D32","N4_114_015G1","N4_114"
"734","conN4_114_019G1_concoct_2.fa","Streptococcus mitis","N4_114_019G1","N4_114"
"735","conN4_114_019G1_concoct_6.fa","Clostridium sporogenes","N4_114_019G1","N4_114"
"736","conN4_114_019G1_concoct_7.fa","Veillonella parvula DSM 2008","N4_114_019G1","N4_114"
"737","conN4_114_025G1_concoct_5.fa","Clostridium perfringens","N4_114_025G1","N4_114"
"738","conN4_114_025G1_concoct_6.fa","Lachnoclostridium phytofermentans ISDg","N4_114_025G1","N4_114"
"739","conN4_114_030G1_concoct_10.fa","Flavonifractor plautii","N4_114_030G1","N4_114"
"740","conN4_114_030G1_concoct_11.fa","Clostridium baratii str. Sullivan","N4_114_030G1","N4_114"
"741","conN4_115_000G1_concoct_10.fa","Staphylococcus haemolyticus JCSC1435","N4_115_000G1","N4_115"
"742","conN4_115_000G1_concoct_24.fa","Veillonella parvula DSM 2008","N4_115_000G1","N4_115"
"743","conN4_115_000G1_concoct_34.fa","Bradyrhizobium sp. BTAi1","N4_115_000G1","N4_115"
"744","conN4_115_000G1_concoct_6.fa","Streptococcus mitis","N4_115_000G1","N4_115"
"745","conN4_115_019G1_concoct_3.fa","Enterococcus faecalis","N4_115_019G1","N4_115"
"746","conN4_115_024G1_concoct_7.fa","Staphylococcus epidermidis","N4_115_024G1","N4_115"
"747","conN4_115_034G1_concoct_17.fa","Clostridium perfringens","N4_115_034G1","N4_115"
"748","conN4_115_034G1_concoct_8.fa","Klebsiella pneumoniae","N4_115_034G1","N4_115"
"749","conN4_116_000G1_concoct_12.fa","Clostridioides difficile","N4_116_000G1","N4_116"
"750","conN4_116_000G1_concoct_17.fa","Flavonifractor plautii","N4_116_000G1","N4_116"
"751","conN4_116_000G1_concoct_22.fa","Bradyrhizobium sp. BTAi1","N4_116_000G1","N4_116"
"752","conN4_116_000G1_concoct_25.fa","Clostridioides difficile","N4_116_000G1","N4_116"
"753","conN4_116_010G1_concoct_0.fa","Enterococcus faecalis D32","N4_116_010G1","N4_116"
"754","conN4_116_010G1_concoct_10.fa","Staphylococcus epidermidis","N4_116_010G1","N4_116"
"755","conN4_116_010G1_concoct_16.fa","Haemophilus parainfluenzae T3T1","N4_116_010G1","N4_116"
"756","conN4_116_010G1_concoct_3.fa","Staphylococcus lugdunensis HKU09-01","N4_116_010G1","N4_116"
"757","conN4_116_013G1_concoct_17.fa","Staphylococcus warneri SG1","N4_116_013G1","N4_116"
"758","conN4_116_013G1_concoct_31.fa","Veillonella parvula DSM 2008","N4_116_013G1","N4_116"
"759","conN4_116_025G1_concoct_8.fa","Enterobacter sp. E20","N4_116_025G1","N4_116"
"760","conN4_124_000G1_concoct_14.fa","Staphylococcus aureus","N4_124_000G1","N4_124"
"761","conN4_124_000G1_concoct_17.fa","Anaerococcus prevotii DSM 20548","N4_124_000G1","N4_124"
"762","conN4_124_000G1_concoct_19.fa","Bradyrhizobium sp. BTAi1","N4_124_000G1","N4_124"
"763","conN4_124_000G1_concoct_6.fa","Mobiluncus curtisii ATCC 43063","N4_124_000G1","N4_124"
"764","conN4_124_007G1_concoct_10.fa","Staphylococcus epidermidis","N4_124_007G1","N4_124"
"765","conN4_124_007G1_concoct_17.fa","Enterococcus faecalis","N4_124_007G1","N4_124"
"766","conN4_124_007G1_concoct_18.fa","Klebsiella pneumoniae","N4_124_007G1","N4_124"
"767","conN4_124_009G1_concoct_21.fa","Propionibacterium avidum 44067","N4_124_009G1","N4_124"
"768","conN4_124_011G2_concoct_11.fa","Clostridium perfringens","N4_124_011G2","N4_124"
"769","conN4_124_011G2_concoct_12.fa","Actinomyces sp. oral taxon 414","N4_124_011G2","N4_124"
"770","conN4_124_031G1_concoct_2.fa","Enterobacter hormaechei subsp. steigerwaltii","N4_124_031G1","N4_124"
"771","conN4_124_033G1_concoct_2.fa","Lactobacillus helveticus","N4_124_033G1","N4_124"
"772","conN4_124_033G1_concoct_7.fa","Bacteroides thetaiotaomicron VPI-5482","N4_124_033G1","N4_124"
"773","conN4_124_039G1_concoct_13.fa","Streptococcus anginosus","N4_124_039G1","N4_124"
"774","conN4_125_000G1_concoct_12.fa","Streptococcus anginosus","N4_125_000G1","N4_125"
"775","conN4_125_000G1_concoct_35.fa","Haemophilus parainfluenzae T3T1","N4_125_000G1","N4_125"
"776","conN4_125_000G1_concoct_37.fa","Clostridioides difficile","N4_125_000G1","N4_125"
"777","conN4_125_000G1_concoct_44.fa","Klebsiella pneumoniae","N4_125_000G1","N4_125"
"778","conN4_125_000G1_concoct_4.fa","Neisseria meningitidis","N4_125_000G1","N4_125"
"779","conN4_125_000G1_concoct_6.fa","Finegoldia magna ATCC 29328","N4_125_000G1","N4_125"
"780","conN4_125_008G1_concoct_36.fa","Citrobacter koseri ATCC BAA-895","N4_125_008G1","N4_125"
"781","conN4_125_011G1_concoct_10.fa","Staphylococcus epidermidis","N4_125_011G1","N4_125"
"782","conN4_125_011G1_concoct_11.fa","Enterococcus faecalis","N4_125_011G1","N4_125"
"783","conN4_125_011G1_concoct_21.fa","Clostridium perfringens","N4_125_011G1","N4_125"
"784","conN4_125_011G1_concoct_22.fa","Proteus mirabilis HI4320","N4_125_011G1","N4_125"
"785","conN4_125_018G1_concoct_22.fa","Acinetobacter pittii","N4_125_018G1","N4_125"
"786","conN4_125_018G1_concoct_2.fa","Streptococcus pasteurianus ATCC 43144","N4_125_018G1","N4_125"
"787","conN4_126_000G1_concoct_31.fa","Bifidobacterium breve","N4_126_000G1","N4_126"
"788","conN4_126_000G1_concoct_35.fa","Bradyrhizobium sp. BTAi1","N4_126_000G1","N4_126"
"789","conN4_126_000G1_concoct_7.fa","Enterobacter cloacae complex sp. 35734","N4_126_000G1","N4_126"
"790","conN4_126_007G1_concoct_0.fa","Pantoea vagans C9-1","N4_126_007G1","N4_126"
"791","conN4_126_007G1_concoct_6.fa","Staphylococcus epidermidis","N4_126_007G1","N4_126"
"792","conN4_126_010G1_concoct_16.fa","Acinetobacter baumannii","N4_126_010G1","N4_126"
"793","conN4_126_016G1_concoct_12.fa","Klebsiella pneumoniae","N4_126_016G1","N4_126"
"794","conN4_126_019G1_concoct_12.fa","Escherichia coli","N4_126_019G1","N4_126"
"795","conN4_128_000G1_concoct_22.fa","Streptococcus thermophilus","N4_128_000G1","N4_128"
"796","conN4_128_000G1_concoct_24.fa","Propionibacterium avidum 44067","N4_128_000G1","N4_128"
"797","conN4_128_000G1_concoct_29.fa","Staphylococcus aureus","N4_128_000G1","N4_128"
"798","conN4_128_000G1_concoct_30.fa","Clostridium baratii str. Sullivan","N4_128_000G1","N4_128"
"799","conN4_128_000G1_concoct_37.fa","Pantoea vagans C9-1","N4_128_000G1","N4_128"
"800","conN4_128_000G1_concoct_8.fa","Finegoldia magna ATCC 29328","N4_128_000G1","N4_128"
"801","conN4_128_000G1_concoct_9.fa","Blautia sp. YL58","N4_128_000G1","N4_128"
"802","conN4_128_007G1_concoct_10.fa","Bradyrhizobium sp. BTAi1","N4_128_007G1","N4_128"
"803","conN4_128_007G1_concoct_6.fa","Staphylococcus epidermidis","N4_128_007G1","N4_128"
"804","conN4_128_010G1_concoct_14.fa","Clostridioides difficile","N4_128_010G1","N4_128"
"805","conN4_128_010G2_concoct_17.fa","Clostridium perfringens","N4_128_010G2","N4_128"
"806","conN4_128_012G1_concoct_13.fa","Veillonella parvula DSM 2008","N4_128_012G1","N4_128"
"807","conN4_128_012G1_concoct_4.fa","Escherichia coli","N4_128_012G1","N4_128"
"808","conN4_128_012G1_concoct_8.fa","Lactobacillus salivarius","N4_128_012G1","N4_128"
"809","conN4_129_000G1_concoct_23.fa","Corynebacterium atypicum","N4_129_000G1","N4_129"
"810","conN4_129_000G1_concoct_38.fa","Eggerthella lenta DSM 2243","N4_129_000G1","N4_129"
"811","conN4_129_000G1_concoct_3.fa","Anaerococcus prevotii DSM 20548","N4_129_000G1","N4_129"
"812","conN4_129_000G1_concoct_5.fa","Streptococcus salivarius","N4_129_000G1","N4_129"
"813","conN4_129_000G1_concoct_7.fa","Veillonella parvula DSM 2008","N4_129_000G1","N4_129"
"814","conN4_129_012G1_concoct_12.fa","Streptococcus mitis","N4_129_012G1","N4_129"
"815","conN4_129_012G1_concoct_19.fa","Staphylococcus lugdunensis HKU09-01","N4_129_012G1","N4_129"
"816","conN4_129_012G1_concoct_2.fa","Corynebacterium kroppenstedtii DSM 44385","N4_129_012G1","N4_129"
"817","conN4_129_016G1_concoct_10.fa","Bradyrhizobium sp. BTAi1","N4_129_016G1","N4_129"
"818","conN4_129_016G1_concoct_18.fa","Anaerococcus prevotii DSM 20548","N4_129_016G1","N4_129"
"819","conN4_129_016G1_concoct_21.fa","Streptococcus gordonii","N4_129_016G1","N4_129"
"820","conN4_129_016G1_concoct_2.fa","Finegoldia magna ATCC 29328","N4_129_016G1","N4_129"
"821","conN4_129_029G1_concoct_11.fa","Finegoldia magna ATCC 29328","N4_129_029G1","N4_129"
"822","conN4_129_029G1_concoct_12.fa","Staphylococcus epidermidis","N4_129_029G1","N4_129"
